Account,Sentiment,Total_Trades,Total_Volume_USD,Total_PnL,Avg_Trade_Size,Win_Rate,Avg_Fear_Greed_Value,Cluster
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,34783947.19,79023.47149299999,14903.147896315337,0.3436161096829477,67.42759211653814,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,21862924.69,45514.323221,17120.536170712607,0.4267815191855912,49.13077525450274,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,346,3336829.22,-71121.820704,9644.015086705202,0.3034682080924855,21.664739884393065,3
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,727332.0899999999,0.0,3261.5788789237663,0.0,79.38565022421524,3
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,225087033.36,367166.216924,37633.67887644206,0.3705066042467815,36.29125564286908,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,121999299.14,163047.664946,38497.72771852319,0.376459450930893,61.3234458819817,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,69726062.55,381330.49405,27702.0510727056,0.5542312276519666,50.08462455303933,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,146503.36,2037.258612,1024.4990209790208,0.3076923076923077,21.125874125874127,3
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,106012.87,73192.07714200001,619.9583040935672,0.8947368421052632,82.21637426900585,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,305149.83,2040.359057,849.9995264623955,0.2200557103064067,33.81058495821727,3
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,132946.9,30203.401038000004,551.6468879668049,0.5062240663900415,68.98340248962656,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,37444.55,1258.120923,613.8450819672132,0.3770491803278688,47.85245901639344,3
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509,3177278.1900000004,33979.99999999999,6242.196836935168,0.6129666011787819,18.605108055009826,3
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,98,1811199.98,0.0,18481.632448979595,0.0,87.0,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,311,1330382.25,-58219.752261,4277.756430868168,0.1607717041800643,30.781350482315112,3
